Athlete_ID,Athlete_Name,Gender,Age,Country,Country_Code,Sport,Event,Olympic_Year,Medal,Height_cm,Weight_kg,Team,Coach,Participation_Status,Has_Medal
1001,Arjun Wilson,Male,21,France,FRA,Gymnastics,Floor,2016,No Medal,173.0,82.0,Team A,Coach E,Participated,0
1002,Kabir Kim,Female,19,United Kingdom,GBR,Cycling,Road Race,2024,Silver,186.0,82.0,Team B,Coach E,Participated,1
1003,Ananya Smith,Male,36,Canada,CAN,Swimming,200M Butterfly,2024,No Medal,186.0,85.0,Team D,Coach C,Participated,0
1004,Ananya Patel,Male,20,Germany,GER,Shooting,25M Pistol,2012,Bronze,186.0,64.0,Team D,Coach B,Participated,1
1005,Arjun Wilson,Female,36,Brazil,BRA,Gymnastics,Floor,2012,No Medal,200.0,97.0,Team A,Coach C,Participated,0
1006,Liam Kim,Male,32,India,IND,Shooting,10M Air Rifle,2012,No Medal,168.0,90.0,Team D,Coach A,Participated,0
1007,Sophia Khan,Female,33,China,CHN,Wrestling,Greco-Roman,2024,No Medal,155.0,55.0,Team C,Coach D,Participated,0
1008,Kabir Patel,Female,18,United States,USA,Wrestling,Freestyle,2020,Silver,181.0,98.0,Team B,Coach E,Participated,1
1009,Chen Khan,Male,30,Brazil,BRA,Tennis,Singles,2024,No Medal,175.0,70.0,Team B,Coach A,Participated,0
1010,Neha Wilson,Female,21,United States,USA,Gymnastics,Floor,2020,Gold,176.0,84.0,Team C,Coach D,Participated,1
1011,Lucas Singh,Male,33,Brazil,BRA,Swimming,100M Freestyle,2012,No Medal,169.0,50.0,Team B,Coach E,Participated,0
1012,Yuki Brown,Female,20,Canada,CAN,Gymnastics,Floor,2016,No Medal,194.0,99.0,Team B,Coach B,Participated,0
1013,Olivia Sharma,Female,18,Japan,JPN,Cycling,Road Race,2020,No Medal,200.0,62.0,Team A,Coach B,Participated,0
1014,Riya Singh,Male,37,Brazil,BRA,Swimming,100M Freestyle,2024,Bronze,176.0,98.0,Team B,Coach D,Participated,1
1015,Sophia Singh,Female,30,Germany,GER,Badminton,Doubles,2016,Silver,197.0,50.0,Team D,Coach C,Participated,1
1016,Ishaan Wilson,Male,22,India,IND,Badminton,Singles,2020,Gold,177.0,100.0,Team C,Coach E,Participated,1
1017,Olivia Singh,Male,36,India,IND,Cycling,Road Race,2024,No Medal,183.0,71.0,Team B,Coach E,Participated,0
